Chr	Start	End	Gene
chr1	3519163	3519194	MEGF6
chr1	6158546	6158577	KCNAB2
chr1	9009428	9009459	CA6
chr1	10292381	10292497	KIF1B
chr1	10316299	10316386	KIF1B
chr1	10318545	10318735	KIF1B
chr1	10321957	10322033	KIF1B
chr1	10327432	10327621	KIF1B
chr1	10328204	10328326	KIF1B
chr1	10331554	10331642	KIF1B
chr1	10332293	10332369	KIF1B
chr1	10333066	10333094	KIF1B
chr1	10335480	10335566	KIF1B
chr1	10336373	10336462	KIF1B
chr1	10338038	10338191	KIF1B
chr1	10339149	10339201	KIF1B
chr1	10342374	10342596	KIF1B
chr1	10351134	10351224	KIF1B
chr1	10352099	10352185	KIF1B
chr1	10355138	10355228	KIF1B
chr1	10355712	10355829	KIF1B
chr1	10356634	10356728	KIF1B
chr1	10356949	10357140	KIF1B
chr1	10357226	10357309	KIF1B
chr1	10363215	10364710	KIF1B
chr1	10380095	10380199	KIF1B
chr1	10381761	10381920	KIF1B
chr1	10383936	10384125	KIF1B
chr1	10384810	10384958	KIF1B
chr1	10386163	10386422	KIF1B
chr1	10394572	10394701	KIF1B
chr1	10396709	10396805	KIF1B
chr1	10397126	10397266	KIF1B
chr1	10397423	10397596	KIF1B
chr1	10399821	10399922	KIF1B
chr1	10402102	10402231	KIF1B
chr1	10403284	10403350	KIF1B
chr1	10405897	10406016	KIF1B
chr1	10407813	10407890	KIF1B
chr1	10408701	10408796	KIF1B
chr1	10412683	10412799	KIF1B
chr1	10420981	10421106	KIF1B
chr1	10421744	10421888	KIF1B
chr1	10423335	10423407	KIF1B
chr1	10425152	10425308	KIF1B
chr1	10425461	10425711	KIF1B
chr1	10428519	10428601	KIF1B
chr1	10431193	10431325	KIF1B
chr1	10434368	10434528	KIF1B
chr1	10434906	10435109	KIF1B
chr1	10435307	10435436	KIF1B
chr1	10436597	10436650	KIF1B
chr1	11166656	11166851	MTOR
chr1	11166991	11167186	MTOR
chr1	11167536	11167562	MTOR
chr1	11168232	11168348	MTOR
chr1	11169341	11169432	MTOR
chr1	11169700	11169791	MTOR
chr1	11172903	11172979	MTOR
chr1	11174369	11174515	MTOR
chr1	11174864	11174949	MTOR
chr1	11175447	11175530	MTOR
chr1	11177055	11177148	MTOR
chr1	11181297	11181430	MTOR
chr1	11182030	11182188	MTOR
chr1	11184549	11184695	MTOR
chr1	11186673	11186858	MTOR
chr1	11187061	11187206	MTOR
chr1	11187675	11187868	MTOR
chr1	11188055	11188188	MTOR
chr1	11188505	11188614	MTOR
chr1	11188906	11189013	MTOR
chr1	11189789	11189900	MTOR
chr1	11190580	11190839	MTOR
chr1	11193131	11193259	MTOR
chr1	11194402	11194528	MTOR
chr1	11199355	11199497	MTOR
chr1	11199580	11199720	MTOR
chr1	11204699	11204817	MTOR;MTOR-AS1
chr1	11205019	11205107	MTOR
chr1	11206727	11206877	MTOR
chr1	11210177	11210288	MTOR
chr1	11217203	11217353	MTOR
chr1	11227493	11227579	MTOR
chr1	11259309	11259465	MTOR
chr1	11259592	11259765	MTOR
chr1	11264612	11264765	MTOR
chr1	11269363	11269520	MTOR
chr1	11270865	11270968	MTOR
chr1	11272363	11272536	MTOR
chr1	11272847	11272970	MTOR
chr1	11273450	11273628	MTOR
chr1	11276199	11276296	MTOR
chr1	11288719	11288980	MTOR
chr1	11290976	11291116	MTOR
chr1	11291351	11291496	MTOR
chr1	11292487	11292590	MTOR
chr1	11293352	11293393	chr1:11.3Mb
chr1	11293449	11293549	MTOR
chr1	11294194	11294327	MTOR
chr1	11297894	11298110	MTOR
chr1	11298453	11298679	MTOR
chr1	11300354	11300609	MTOR
chr1	11301604	11301743	MTOR
chr1	11303165	11303362	MTOR
chr1	11307676	11307795	MTOR
chr1	11307870	11308156	MTOR
chr1	11313890	11314035	MTOR
chr1	11316043	11316254	MTOR
chr1	11316984	11317227	MTOR
chr1	11318536	11318655	MTOR
chr1	11319299	11319471	MTOR
chr1	11734826	11734878	MAD2L2
chr1	11735133	11735236	MAD2L2
chr1	11735709	11735793	MAD2L2
chr1	11736097	11736202	MAD2L2
chr1	11736899	11737010	MAD2L2
chr1	11737594	11737676	MAD2L2
chr1	11740404	11740533	MAD2L2
chr1	11740613	11740858	MAD2L2
chr1	12639002	12639033	chr1:12.6Mb
chr1	15438974	15439005	KAZN;TMEM51-AS1
chr1	16174557	16174650	FLJ37453;SPEN
chr1	16199305	16199636	SPEN
chr1	16200604	16200895	SPEN
chr1	16202691	16203178	SPEN
chr1	16235810	16235981	SPEN
chr1	16237590	16237801	SPEN
chr1	16242617	16242779	SPEN
chr1	16245415	16245551	SPEN
chr1	16245893	16246017	SPEN
chr1	16247359	16247483	SPEN
chr1	16248738	16248849	SPEN
chr1	16254580	16262766	SPEN
chr1	16263652	16264145	SPEN
chr1	16264301	16264506	SPEN
chr1	16265207	16265376	SPEN
chr1	16265785	16265927	SPEN
chr1	17345370	17345458	SDHB
chr1	17349097	17349230	SDHB
chr1	17350462	17350574	SDHB
chr1	17354238	17354365	SDHB
chr1	17355089	17355236	SDHB
chr1	17359549	17359645	SDHB
chr1	17371250	17371388	SDHB
chr1	17380437	17380519	SDHB
chr1	18149550	18149581	ACTL8
chr1	19881611	19881642	chr1:19.9Mb
chr1	21180165	21180196	EIF4G3
chr1	24122970	24123001	GALE
chr1	27022889	27024036	ARID1A;LOC101928728
chr1	27056136	27056359	ARID1A
chr1	27057637	27058100	ARID1A
chr1	27059161	27059288	ARID1A
chr1	27087341	27087592	ARID1A
chr1	27087869	27087969	ARID1A
chr1	27088637	27088815	ARID1A
chr1	27089458	27089781	ARID1A
chr1	27092706	27092862	ARID1A
chr1	27092942	27093062	ARID1A
chr1	27094275	27094495	ARID1A
chr1	27097604	27097822	ARID1A
chr1	27098985	27099128	ARID1A
chr1	27099297	27099483	ARID1A
chr1	27099831	27099992	ARID1A
chr1	27100065	27100220	ARID1A
chr1	27100287	27100394	ARID1A
chr1	27100814	27101716	ARID1A
chr1	27102062	27102203	ARID1A
chr1	27105508	27107252	ARID1A
chr1	27679781	27679812	SYTL1
chr1	31188885	31188916	MATN1
chr1	34038198	34038229	CSMD2
chr1	36203700	36203731	chr1:36.2Mb
chr1	39456990	39457021	AKIRIN1
chr1	42630348	42630379	GUCA2A
chr1	45504704	45504735	ZSWIM5
chr1	45794972	45795114	MUTYH
chr1	45796182	45796234	MUTYH
chr1	45796848	45797011	MUTYH
chr1	45797086	45797233	MUTYH
chr1	45797327	45797526	MUTYH
chr1	45797689	45797763	MUTYH
chr1	45797832	45797987	MUTYH
chr1	45798057	45798165	MUTYH
chr1	45798240	45798364	MUTYH
chr1	45798429	45798511	MUTYH
chr1	45798584	45798636	MUTYH
chr1	45798763	45798847	MUTYH
chr1	45798951	45799001	MUTYH
chr1	45799079	45799280	MUTYH
chr1	45800057	45800188	MUTYH
chr1	45805885	45805931	MUTYH;TOE1
chr1	46714072	46714085	RAD54L
chr1	46714178	46714275	RAD54L
chr1	46715666	46715796	RAD54L
chr1	46724352	46724423	RAD54L
chr1	46725630	46725776	RAD54L
chr1	46726208	46726288	RAD54L
chr1	46726393	46726692	RAD54L
chr1	46726927	46727062	RAD54L
chr1	46733125	46733286	RAD54L
chr1	46736325	46736462	RAD54L
chr1	46738132	46738217	RAD54L
chr1	46738338	46738479	RAD54L
chr1	46739021	46739142	RAD54L
chr1	46739290	46739424	RAD54L
chr1	46739804	46739893	RAD54L
chr1	46740204	46740394	RAD54L
chr1	46743483	46743657	RAD54L
chr1	46743738	46743959	LRRC41;RAD54L
chr1	48937675	48937706	SPATA6
chr1	52266226	52266257	NRD1
chr1	54375554	54375585	chr1:54.4Mb
chr1	59139207	59139238	chr1:59.1Mb
chr1	60466798	60466829	C1orf87
chr1	64015201	64015232	DLEU2L
chr1	65300239	65300345	JAK1;RAVER2
chr1	65301073	65301194	JAK1
chr1	65301775	65301903	JAK1
chr1	65303609	65303792	JAK1
chr1	65304142	65304277	JAK1
chr1	65305280	65305483	JAK1
chr1	65306922	65307027	JAK1
chr1	65307128	65307289	JAK1
chr1	65309741	65309903	JAK1
chr1	65310431	65310577	JAK1
chr1	65311190	65311328	JAK1
chr1	65312326	65312424	JAK1
chr1	65313209	65313363	JAK1
chr1	65316481	65316598	JAK1
chr1	65321186	65321386	JAK1
chr1	65323333	65323467	JAK1
chr1	65325782	65325950	JAK1
chr1	65330464	65330660	JAK1
chr1	65332543	65332896	JAK1
chr1	65334988	65335162	JAK1
chr1	65339047	65339211	JAK1
chr1	65344702	65344836	JAK1
chr1	65348954	65349163	JAK1
chr1	65351936	65351952	JAK1
chr1	66058497	66058528	LEPR;LEPROT
chr1	71537927	71537958	ZRANB2
chr1	74664133	74664164	chr1:74.7Mb
chr1	75006011	75006042	chr1:75.0Mb
chr1	78413193	78413242	FUBP1;NEXN
chr1	78414445	78414464	FUBP1
chr1	78414834	78414990	FUBP1
chr1	78420934	78421019	FUBP1
chr1	78422251	78422390	FUBP1
chr1	78425863	78425953	FUBP1
chr1	78426023	78426185	FUBP1
chr1	78428449	78428620	FUBP1
chr1	78429253	78429405	FUBP1
chr1	78429741	78429852	FUBP1
chr1	78429933	78430046	FUBP1
chr1	78430325	78430437	FUBP1
chr1	78430549	78430658	FUBP1
chr1	78430747	78430920	FUBP1
chr1	78432372	78432440	FUBP1
chr1	78432562	78432644	FUBP1
chr1	78432727	78432790	FUBP1
chr1	78433305	78433355	FUBP1
chr1	78433843	78433892	FUBP1
chr1	78434700	78434773	FUBP1
chr1	78435603	78435704	FUBP1
chr1	78444563	78444693	FUBP1
chr1	79128554	79128585	IFI44
chr1	82402348	82402383	chr1:82.4Mb
chr1	84876695	84876726	chr1:84.9Mb
chr1	87101229	87101260	chr1:87.1Mb
chr1	92185641	92185672	TGFBR3
chr1	93581008	93581039	MTF2
chr1	97189075	97189106	chr1:97.2Mb
chr1	100152427	100152458	chr1:100.2Mb
chr1	102271758	102271789	chr1:102.3Mb
chr1	104076479	104076510	chr1:104.1Mb
chr1	108307711	108307742	VAV3
chr1	111661397	111661428	DRAM2
